"SKU","Quantity"
"NTC095101",181
"NTC270106",132
"NTC341101",42
"NTC337101",301
"NTC335101",28
"NTC333102",88
"NTC319101",64
"NTC049201",545
"NTC033401",38
"NTC265101",191
"NTC267101",91
"NTC242101",141
"NTC243101",30
"NTC238101",52
"NTC233202",30
"NTC233102",76
"NTC229101",20
"NTC030103",144
"NTC030102",181
"NTC041101",164
"NTC173301",346
"NTC061101",23
"NTC106101",407
"NTC037201",32
"NTC086201",46
"NTC098101",46
"NTC070101",718
"NTC188101",278
"NTC030101",464
"NTC125201",130
"NTC154101",160
"NTC082101",364
"NTC138201",38
"NTC012401",162
"NTC117101",43
"NTC038401",54
"NTC224109",397
"NTC219101",255
"NTC217101",421
"NTC206104",53
"XPI033101",25
"NTC270204",194
"NTC270202",98
"NTC024707",69
"NTC049101",141
"NTC054101",331
"NTC052101",225
"NTC080101",2514
"NTC099101",1997
"NTC158101",0
"NTC270207",0
"NTC185101",0
"NTC157101",0
"NTC122101",0
"NTC052301",0
"NTC027201",0
"NTC304101",0
"NTC332101",0
"NTC308101",0
"NTC314109",0
"NTC249201",0
"NTC244101",0
"NTC202201",0
"NTC131102",0
"NTC032101",0
"NTC106201",0
"NTC009201",0
"NTC125101",0
"NTC102101",0
"NTC164101",0
"NTC179101",0
"NTC107101",0
"XPI108202",0
"XPI018201",0
"NTC213101",0
"XPI034101",0
"NTC067207",0
"NTC067107",0
"NTC067206",0
"NTC110101",0
"NTC198101",0
"NTC199101",0
"NTC069305",0
"NTC192101",0
"NTC192201",0
"NTC194101",0
"NTC003301",0
